wsi_di_CVP_SYS
wsi                   di
0.0        0.0
500.0        4176.81445312
1000.0        4176.81445312
1500.0        4176.81445312
2000.0        4176.81445312
2500.0        4176.81445312
3000.0        4176.81445312
3500.0        4176.81445312
4000.0        4176.81445312
4500.0        4176.81445312
5000.0        4176.81445312
5500.0        4176.81445312
6000.0        4438.66455786
6500.0        5007.3813657
7000.0        5571.48354012
7500.0        6205.04258685
8000.0        7096.05612692
8500.0        7725.05927934
9000.0        8336.71293018
9500.0        8896.27502671
10000.0        9732.47115761
10500.0        10434.1218464
11000.0        11145.5337904
11500.0        11448.4176607
12000.0        11719.676702
12500.0        11809.4466632
13000.0        11941.3161874
13500.0        12171.7313791
14000.0        12171.7313791
14500.0        12171.7313791
15000.0        12171.7313791
15500.0        12171.7313791
16000.0        12171.7313791
16500.0        12171.7313791
17000.0        12171.7313791
17500.0        12171.7313791
18000.0        12171.7313791
18500.0        12171.7313791
19000.0        12171.7313791
19500.0        12171.7313791
20000.0        12171.7313791
