wsi_di_SWP
wsi                   di
0.0        0.0
500.0        1176.74365234
1000.0        1176.74365234
1500.0        1176.74365234
2000.0        1296.44015352
2500.0        1569.78711662
3000.0        2272.34024734
3500.0        2773.57654601
4000.0        3373.98269339
4500.0        4614.15375919
5000.0        5327.420535
5500.0        6252.6420241
6000.0        7006.36610775
6500.0        7481.7378138
7000.0        7938.75498891
7500.0        8053.98563401
8000.0        8053.98563401
8500.0        8053.98563401
9000.0        8053.98563401
9500.0        8053.98563401
10000.0        8053.98563401
10500.0        8053.98563401
11000.0        8053.98563401
11500.0        8053.98563401
12000.0        8053.98563401
12500.0        8053.98563401
13000.0        8053.98563401
13500.0        8053.98563401
14000.0        8053.98563401
14500.0        8053.98563401
15000.0        8053.98563401
15500.0        8053.98563401
16000.0        8053.98563401
16500.0        8053.98563401
17000.0        8053.98563401
17500.0        8053.98563401
18000.0        8053.98563401
18500.0        8053.98563401
19000.0        8053.98563401
19500.0        8053.98563401
20000.0        8053.98563401
