wsi_di_SWP
wsi                   di
0.0        0.0
500.0        1446.52901581
1000.0        1446.52901581
1500.0        1446.52901581
2000.0        1446.52901581
2500.0        1446.52901581
3000.0        1799.1218825
3500.0        2453.43861086
4000.0        3087.32058446
4500.0        4089.92608838
5000.0        5217.08838866
5500.0        5919.30858663
6000.0        6991.26435289
6500.0        7581.82959281
7000.0        7923.78360711
7500.0        8028.33872314
8000.0        8028.33872314
8500.0        8028.33872314
9000.0        8028.33872314
9500.0        8028.33872314
10000.0        8028.33872314
10500.0        8028.33872314
11000.0        8028.33872314
11500.0        8028.33872314
12000.0        8028.33872314
12500.0        8028.33872314
13000.0        8028.33872314
13500.0        8028.33872314
14000.0        8028.33872314
14500.0        8028.33872314
15000.0        8028.33872314
15500.0        8028.33872314
16000.0        8028.33872314
16500.0        8028.33872314
17000.0        8028.33872314
17500.0        8028.33872314
18000.0        8028.33872314
18500.0        8028.33872314
19000.0        8028.33872314
19500.0        8028.33872314
20000.0        8028.33872314
