wsi_di_CVP_SYS
wsi                   di
0.0        0.0
500.0        4138.47166763
1000.0        4138.47166763
1500.0        4138.47166763
2000.0        4138.47166763
2500.0        4138.47166763
3000.0        4138.47166763
3500.0        4138.47166763
4000.0        4138.47166763
4500.0        4138.47166763
5000.0        4138.47166763
5500.0        4138.47166763
6000.0        4321.58080546
6500.0        4980.34363299
7000.0        5561.95729522
7500.0        6216.74483152
8000.0        7042.57879328
8500.0        7643.14671606
9000.0        8365.52948151
9500.0        8871.24104139
10000.0        9738.61718748
10500.0        10442.9713987
11000.0        11192.8599839
11500.0        11501.7242937
12000.0        11749.89944
12500.0        11871.7681752
13000.0        11912.7805097
13500.0        12164.8889705
14000.0        12164.8889705
14500.0        12164.8889705
15000.0        12164.8889705
15500.0        12164.8889705
16000.0        12164.8889705
16500.0        12164.8889705
17000.0        12164.8889705
17500.0        12164.8889705
18000.0        12164.8889705
18500.0        12164.8889705
19000.0        12164.8889705
19500.0        12164.8889705
20000.0        12164.8889705
