wsi_di_SWP
wsi                   di
0.0        0.0
500.0        1704.94441397
1000.0        1704.94441397
1500.0        1704.94441397
2000.0        1704.94441397
2500.0        1704.94441397
3000.0        1938.72922167
3500.0        2492.72888755
4000.0        3167.67650336
4500.0        4432.134975
5000.0        5301.79289003
5500.0        5935.52421977
6000.0        6983.99888663
6500.0        7480.00822841
7000.0        7909.63884472
7500.0        7970.76291342
8000.0        7970.76291342
8500.0        7970.76291342
9000.0        7970.76291342
9500.0        7970.76291342
10000.0        7970.76291342
10500.0        7970.76291342
11000.0        7970.76291342
11500.0        7970.76291342
12000.0        7970.76291342
12500.0        7970.76291342
13000.0        7970.76291342
13500.0        7970.76291342
14000.0        7970.76291342
14500.0        7970.76291342
15000.0        7970.76291342
15500.0        7970.76291342
16000.0        7970.76291342
16500.0        7970.76291342
17000.0        7970.76291342
17500.0        7970.76291342
18000.0        7970.76291342
18500.0        7970.76291342
19000.0        7970.76291342
19500.0        7970.76291342
20000.0        7970.76291342
