wsi_di_CVP_SYS
wsi                   di
0.0        0.0
500.0        4238.06026725
1000.0        4238.06026725
1500.0        4238.06026725
2000.0        4238.06026725
2500.0        4238.06026725
3000.0        4238.06026725
3500.0        4238.06026725
4000.0        4238.06026725
4500.0        4238.06026725
5000.0        4238.06026725
5500.0        4238.06026725
6000.0        4238.06026725
6500.0        4866.61135352
7000.0        5619.39991259
7500.0        5854.61365082
8000.0        6398.62335865
8500.0        7530.96695445
9000.0        8282.65441228
9500.0        8807.32643352
10000.0        9730.85815554
10500.0        10452.5421935
11000.0        11188.5510446
11500.0        11530.158632
12000.0        11786.3778467
12500.0        11914.6436783
13000.0        11941.822056
13500.0        12175.4353141
14000.0        12175.4353141
14500.0        12175.4353141
15000.0        12175.4353141
15500.0        12175.4353141
16000.0        12175.4353141
16500.0        12175.4353141
17000.0        12175.4353141
17500.0        12175.4353141
18000.0        12175.4353141
18500.0        12175.4353141
19000.0        12175.4353141
19500.0        12175.4353141
20000.0        12175.4353141
