wsi_di_CVP_SYS
wsi                   di
0.0        0.0
500.0        4232.00076707
1000.0        4232.00076707
1500.0        4232.00076707
2000.0        4232.00076707
2500.0        4232.00076707
3000.0        4232.00076707
3500.0        4232.00076707
4000.0        4232.00076707
4500.0        4232.00076707
5000.0        4232.00076707
5500.0        4300.41760563
6000.0        4300.41760563
6500.0        5275.62422207
7000.0        5648.32483225
7500.0        6385.9107058
8000.0        6899.79612412
8500.0        7647.87574426
9000.0        8316.17473333
9500.0        8812.68206898
10000.0        9729.98607195
10500.0        10455.268437
11000.0        11188.8812648
11500.0        11527.7313305
12000.0        11785.7324616
12500.0        11914.8973289
13000.0        11948.9924115
13500.0        12176.9790068
14000.0        12176.9790068
14500.0        12176.9790068
15000.0        12176.9790068
15500.0        12176.9790068
16000.0        12176.9790068
16500.0        12176.9790068
17000.0        12176.9790068
17500.0        12176.9790068
18000.0        12176.9790068
18500.0        12176.9790068
19000.0        12176.9790068
19500.0        12176.9790068
20000.0        12176.9790068
