wsi_di_SWP
wsi                   di
0.0        0.0
500.0        1106.76500838
1000.0        1106.76500838
1500.0        1106.76500838
2000.0        1283.34293644
2500.0        1595.28782024
3000.0        2167.89262967
3500.0        2807.76628806
4000.0        3514.420927
4500.0        4467.77372677
5000.0        5258.93975555
5500.0        6242.38423735
6000.0        7025.76753104
6500.0        7483.42821412
7000.0        7913.34286862
7500.0        8013.61490399
8000.0        8013.61490399
8500.0        8013.61490399
9000.0        8013.61490399
9500.0        8013.61490399
10000.0        8013.61490399
10500.0        8013.61490399
11000.0        8013.61490399
11500.0        8013.61490399
12000.0        8013.61490399
12500.0        8013.61490399
13000.0        8013.61490399
13500.0        8013.61490399
14000.0        8013.61490399
14500.0        8013.61490399
15000.0        8013.61490399
15500.0        8013.61490399
16000.0        8013.61490399
16500.0        8013.61490399
17000.0        8013.61490399
17500.0        8013.61490399
18000.0        8013.61490399
18500.0        8013.61490399
19000.0        8013.61490399
19500.0        8013.61490399
20000.0        8013.61490399
