wsi_di_CVP_SYS
wsi                   di
0.0        0.0
500.0        4378.31500019
1000.0        4378.31500019
1500.0        4378.31500019
2000.0        4378.31500019
2500.0        4378.31500019
3000.0        4378.31500019
3500.0        4378.31500019
4000.0        4378.31500019
4500.0        4378.31500019
5000.0        4378.31500019
5500.0        4378.31500019
6000.0        4378.31500019
6500.0        4952.92065369
7000.0        5653.19675028
7500.0        5834.47938894
8000.0        6564.60073168
8500.0        7585.36921366
9000.0        8298.36934646
9500.0        8811.29833161
10000.0        9737.24298321
10500.0        10468.535733
11000.0        11182.1833173
11500.0        11527.1542622
12000.0        11785.1692874
12500.0        11912.8297441
13000.0        11939.4917009
13500.0        12173.6883273
14000.0        12173.6883273
14500.0        12173.6883273
15000.0        12173.6883273
15500.0        12173.6883273
16000.0        12173.6883273
16500.0        12173.6883273
17000.0        12173.6883273
17500.0        12173.6883273
18000.0        12173.6883273
18500.0        12173.6883273
19000.0        12173.6883273
19500.0        12173.6883273
20000.0        12173.6883273
