wsi_di_CVP_SYS
wsi                   di
0.0        0.0
500.0        4078.39178909
1000.0        4078.39178909
1500.0        4078.39178909
2000.0        4078.39178909
2500.0        4078.39178909
3000.0        4078.39178909
3500.0        4078.39178909
4000.0        4078.39178909
4500.0        4078.39178909
5000.0        4078.39178909
5500.0        4078.39178909
6000.0        4432.89492447
6500.0        4875.14503254
7000.0        5427.97452509
7500.0        6106.45441065
8000.0        6683.6582534
8500.0        7544.17348723
9000.0        8303.58081396
9500.0        8837.01504935
10000.0        9773.04512508
10500.0        10460.9599215
11000.0        11126.1720323
11500.0        11431.7495095
12000.0        11688.7772392
12500.0        11776.6481705
13000.0        11838.0243495
13500.0        12086.0278029
14000.0        12138.2946678
14500.0        12138.2946678
15000.0        12138.2946678
15500.0        12138.2946678
16000.0        12138.2946678
16500.0        12138.2946678
17000.0        12138.2946678
17500.0        12138.2946678
18000.0        12138.2946678
18500.0        12138.2946678
19000.0        12138.2946678
19500.0        12138.2946678
20000.0        12138.2946678
