wsi_di_SWP
wsi                   di
0.0        0.0
500.0        1705.33015053
1000.0        1705.33015053
1500.0        1705.33015053
2000.0        1705.33015053
2500.0        1705.33015053
3000.0        1876.67602904
3500.0        2484.58725311
4000.0        3175.19759579
4500.0        4412.99480384
5000.0        5263.43119932
5500.0        5921.08728429
6000.0        6982.4235857
6500.0        7488.55068046
7000.0        7920.52088894
7500.0        8006.05223114
8000.0        8006.05223114
8500.0        8006.05223114
9000.0        8006.05223114
9500.0        8006.05223114
10000.0        8006.05223114
10500.0        8006.05223114
11000.0        8006.05223114
11500.0        8006.05223114
12000.0        8006.05223114
12500.0        8006.05223114
13000.0        8006.05223114
13500.0        8006.05223114
14000.0        8006.05223114
14500.0        8006.05223114
15000.0        8006.05223114
15500.0        8006.05223114
16000.0        8006.05223114
16500.0        8006.05223114
17000.0        8006.05223114
17500.0        8006.05223114
18000.0        8006.05223114
18500.0        8006.05223114
19000.0        8006.05223114
19500.0        8006.05223114
20000.0        8006.05223114
