wsi_di_SWP
wsi                   di
0.0        0.0
500.0        1131.14421417
1000.0        1131.14421417
1500.0        1131.14421417
2000.0        1280.56682203
2500.0        1570.40303555
3000.0        2274.83946553
3500.0        2792.24101133
4000.0        3380.48827256
4500.0        4607.07021478
5000.0        5325.10097632
5500.0        6252.56123426
6000.0        7005.18289486
6500.0        7479.42718739
7000.0        7938.28695667
7500.0        8053.91029368
8000.0        8053.91029368
8500.0        8053.91029368
9000.0        8053.91029368
9500.0        8053.91029368
10000.0        8053.91029368
10500.0        8053.91029368
11000.0        8053.91029368
11500.0        8053.91029368
12000.0        8053.91029368
12500.0        8053.91029368
13000.0        8053.91029368
13500.0        8053.91029368
14000.0        8053.91029368
14500.0        8053.91029368
15000.0        8053.91029368
15500.0        8053.91029368
16000.0        8053.91029368
16500.0        8053.91029368
17000.0        8053.91029368
17500.0        8053.91029368
18000.0        8053.91029368
18500.0        8053.91029368
19000.0        8053.91029368
19500.0        8053.91029368
20000.0        8053.91029368
